,VR1:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR2:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR3:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR4:VRF Heat Pump Condenser Inlet Temperature [C](Hourly)
2013-10-30 17:00:00,25.4583333333333,25.4583333333333,25.4583333333333,25.4583333333333
2013-10-30 18:00:00,24.533333333333303,24.533333333333303,24.533333333333303,24.533333333333303
2013-10-30 19:00:00,24.025,24.025,24.025,24.025
2013-10-30 20:00:00,23.9,23.9,23.9,23.9
2013-10-30 21:00:00,23.375,23.375,23.375,23.375
2013-10-30 22:00:00,23.0583333333333,23.0583333333333,23.0583333333333,23.0583333333333
2013-10-30 23:00:00,22.8666666666667,22.8666666666667,22.8666666666667,22.8666666666667
2013-10-31 00:00:00,22.525,22.525,22.525,22.525
2013-10-31 01:00:00,22.108333333333302,22.108333333333302,22.108333333333302,22.108333333333302
2013-10-31 02:00:00,21.783333333333303,21.783333333333303,21.783333333333303,21.783333333333303
2013-10-31 03:00:00,21.641666666666698,21.641666666666698,21.641666666666698,21.641666666666698
2013-10-31 04:00:00,21.775,21.775,21.775,21.775
2013-10-31 05:00:00,21.841666666666697,21.841666666666697,21.841666666666697,21.841666666666697
2013-10-31 06:00:00,21.6833333333333,21.6833333333333,21.6833333333333,21.6833333333333
2013-10-31 07:00:00,21.658333333333303,21.658333333333303,21.658333333333303,21.658333333333303
2013-10-31 08:00:00,21.7583333333333,21.7583333333333,21.7583333333333,21.7583333333333
2013-10-31 09:00:00,21.858333333333302,21.858333333333302,21.858333333333302,21.858333333333302
2013-10-31 10:00:00,21.725,21.725,21.725,21.725
2013-10-31 11:00:00,21.775,21.775,21.775,21.775
2013-10-31 12:00:00,22.016666666666698,22.016666666666698,22.016666666666698,22.016666666666698
2013-10-31 13:00:00,22.216666666666697,22.216666666666697,22.216666666666697,22.216666666666697
2013-10-31 14:00:00,22.533333333333303,22.533333333333303,22.533333333333303,22.533333333333303
2013-10-31 15:00:00,22.525,22.525,22.525,22.525
2013-10-31 16:00:00,22.108333333333302,22.108333333333302,22.108333333333302,22.108333333333302
2013-10-31 17:00:00,21.783333333333303,21.783333333333303,21.783333333333303,21.783333333333303
2013-10-31 18:00:00,21.175,21.175,21.175,21.175
2013-10-31 19:00:00,20.6833333333333,20.6833333333333,20.6833333333333,20.6833333333333
2013-10-31 20:00:00,20.5416666666667,20.5416666666667,20.5416666666667,20.5416666666667
2013-10-31 21:00:00,20.3833333333333,20.3833333333333,20.3833333333333,20.3833333333333
2013-10-31 22:00:00,20.125,20.125,20.125,20.125
2013-10-31 23:00:00,19.825,19.825,19.825,19.825
2013-11-01 00:00:00,19.7583333333333,19.7583333333333,19.7583333333333,19.7583333333333
2013-11-01 01:00:00,19.8,19.8,19.8,19.8
2013-11-01 02:00:00,19.7416666666667,19.7416666666667,19.7416666666667,19.7416666666667
2013-11-01 03:00:00,19.641666666666698,19.641666666666698,19.641666666666698,19.641666666666698
2013-11-01 04:00:00,19.425,19.425,19.425,19.425
2013-11-01 05:00:00,19.2416666666667,19.2416666666667,19.2416666666667,19.2416666666667
2013-11-01 06:00:00,18.908333333333303,18.908333333333303,18.908333333333303,18.908333333333303
2013-11-01 07:00:00,18.8166666666667,18.8166666666667,18.8166666666667,18.8166666666667
2013-11-01 08:00:00,19.6,19.6,19.6,19.6
2013-11-01 09:00:00,20.5083333333333,20.5083333333333,20.5083333333333,20.5083333333333
2013-11-01 10:00:00,21.2083333333333,21.2083333333333,21.2083333333333,21.2083333333333
2013-11-01 11:00:00,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667
2013-11-01 12:00:00,24.2,24.2,24.2,24.2
2013-11-01 13:00:00,25.4,25.4,25.4,25.4
2013-11-01 14:00:00,25.4916666666667,25.4916666666667,25.4916666666667,25.4916666666667
2013-11-01 15:00:00,25.55,25.55,25.55,25.55
2013-11-01 16:00:00,24.925,24.925,24.925,24.925
2013-11-01 17:00:00,23.425,23.425,23.425,23.425
2013-11-01 18:00:00,22.1,22.1,22.1,22.1
2013-11-01 19:00:00,21.075,21.075,21.075,21.075
2013-11-01 20:00:00,20.525,20.525,20.525,20.525
2013-11-01 21:00:00,20.283333333333303,20.283333333333303,20.283333333333303,20.283333333333303
2013-11-01 22:00:00,20.025,20.025,20.025,20.025
2013-11-01 23:00:00,19.725,19.725,19.725,19.725
2013-11-02 00:00:00,19.716666666666697,19.716666666666697,19.716666666666697,19.716666666666697
2013-11-02 01:00:00,19.5666666666667,19.5666666666667,19.5666666666667,19.5666666666667
2013-11-02 02:00:00,19.4583333333333,19.4583333333333,19.4583333333333,19.4583333333333
2013-11-02 03:00:00,19.7916666666667,19.7916666666667,19.7916666666667,19.7916666666667
2013-11-02 04:00:00,20.233333333333302,20.233333333333302,20.233333333333302,20.233333333333302
2013-11-02 05:00:00,20.108333333333302,20.108333333333302,20.108333333333302,20.108333333333302
2013-11-02 06:00:00,19.55,19.55,19.55,19.55
2013-11-02 07:00:00,19.7083333333333,19.7083333333333,19.7083333333333,19.7083333333333
2013-11-02 08:00:00,20.408333333333303,20.408333333333303,20.408333333333303,20.408333333333303
2013-11-02 09:00:00,21.8666666666667,21.8666666666667,21.8666666666667,21.8666666666667
2013-11-02 10:00:00,24.1,24.1,24.1,24.1
2013-11-02 11:00:00,26.5583333333333,26.5583333333333,26.5583333333333,26.5583333333333
2013-11-02 12:00:00,27.716666666666697,27.716666666666697,27.716666666666697,27.716666666666697
2013-11-02 13:00:00,27.8,27.8,27.8,27.8
2013-11-02 14:00:00,28.0625,28.0625,28.0625,28.0625
2013-11-02 15:00:00,28.5125,28.5125,28.5125,28.5125
